employee_id,age,gender,marital_status,attrition,business_travel,over_time,distance_from_home,education_level,job_level,num_companies_worked,total_working_years,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,training_times_last_year,department_id,job_role_id,education_field_id
1,41,Female,Single,Yes,Travel_Rarely,Yes,1,2,2,8,8,6,4,0,5,0,3,8,2
2,49,Male,Married,No,Travel_Frequently,No,8,1,2,1,10,10,7,1,7,3,2,7,2
4,37,Male,Single,Yes,Travel_Rarely,Yes,2,2,1,6,7,0,0,0,0,3,2,3,5
5,33,Female,Married,No,Travel_Frequently,Yes,3,4,1,1,8,8,7,3,0,3,2,7,2
7,27,Male,Married,No,Travel_Rarely,No,2,1,1,9,6,2,2,2,2,3,2,3,4
8,32,Male,Single,No,Travel_Frequently,No,2,2,1,0,8,7,7,3,6,2,2,3,2
10,59,Female,Married,No,Travel_Rarely,Yes,3,3,1,4,12,1,0,0,0,3,2,3,4
11,30,Male,Divorced,No,Travel_Rarely,No,24,1,1,1,1,1,0,0,0,2,2,3,2
12,38,Male,Single,No,Travel_Frequently,No,23,3,3,0,10,9,7,1,8,2,2,5,2
13,36,Male,Married,No,Travel_Rarely,No,27,3,2,6,17,7,7,7,7,3,2,1,4
14,35,Male,Married,No,Travel_Rarely,No,16,3,1,0,6,5,4,0,3,5,2,3,4
15,29,Female,Single,No,Travel_Rarely,Yes,15,2,2,0,10,9,5,0,8,3,2,3,2
16,31,Male,Divorced,No,Travel_Rarely,No,26,1,1,1,5,5,2,4,3,1,2,7,2
18,34,Male,Divorced,No,Travel_Rarely,No,19,2,1,0,3,2,2,1,2,2,2,3,4
19,28,Male,Single,Yes,Travel_Rarely,Yes,24,3,1,5,6,4,2,0,3,4,2,3,2
20,29,Female,Divorced,No,Travel_Rarely,No,21,4,3,1,10,10,9,8,8,1,2,5,2
21,32,Male,Divorced,No,Travel_Rarely,Yes,5,2,1,0,7,6,2,0,5,5,2,7,2
22,22,Male,Divorced,No,Non-Travel,Yes,16,2,1,1,1,1,0,0,0,2,2,3,4
23,53,Female,Married,No,Travel_Rarely,No,2,4,4,2,31,25,8,3,7,3,3,4,2
24,38,Male,Single,No,Travel_Rarely,Yes,2,3,1,5,6,3,2,1,2,3,2,7,2
26,24,Female,Divorced,No,Non-Travel,No,11,2,2,0,5,4,2,1,3,5,2,5,5
27,36,Male,Single,Yes,Travel_Rarely,No,9,4,1,7,10,5,3,0,3,4,3,9,2
28,34,Female,Single,No,Travel_Rarely,No,7,4,3,0,13,12,6,2,11,4,2,6,2
30,21,Male,Single,No,Travel_Rarely,No,15,2,1,1,0,0,0,0,0,6,2,7,2
31,34,Male,Single,Yes,Travel_Rarely,No,6,1,1,2,8,4,2,1,3,2,2,7,4
32,53,Female,Divorced,No,Travel_Rarely,No,5,3,5,4,26,14,13,4,8,3,2,4,5
33,32,Female,Single,Yes,Travel_Frequently,Yes,16,1,1,1,10,10,2,6,7,5,2,7,2
35,42,Male,Married,No,Travel_Rarely,No,8,4,2,0,10,9,7,4,2,2,3,8,3
36,44,Female,Married,No,Travel_Rarely,No,7,4,3,3,24,22,6,5,17,4,2,1,4
38,46,Female,Single,No,Travel_Rarely,No,2,4,5,3,22,2,2,2,1,2,3,4,3
39,33,Male,Single,No,Travel_Rarely,No,2,3,1,4,7,1,1,0,0,3,2,3,4
40,44,Male,Married,No,Travel_Rarely,Yes,10,4,2,2,9,4,2,1,3,5,2,1,5
